Model,R²,Adjusted_R²,Formula
Additive,0.6625540633467057,0.15638515836676437,0.3329*m0NESY + 0.3607*NiKo + 0.1723*kyousuke
Multiplicative,0.007187382591188118,-0.24101577176101485,0.0001*(m0NESY*NiKo*kyousuke)
Full_Interactions,1.0,1.0,See coefficients
Simplified_Interactions,0.9320998138778325,0.6604990693891624,See coefficients
