Model,R²,Adjusted_R²,Formula
Additive,0.3809038953599446,0.20401929403421448,0.1831*m0NESY + 0.1229*NiKo
Multiplicative,0.24995414721652975,0.15619841561859593,0.0058*(m0NESY*NiKo)
Full_Interactions,0.3987045955648184,0.09805689334722756,See coefficients
Simplified_Interactions,0.3987045955648184,0.09805689334722756,See coefficients
