Model,R²,Adjusted_R²,Formula
Additive,0.8504943461357519,0.7757415192036279,1.0693*m0NESY + 0.1063*kyousuke
Multiplicative,0.20250767413696935,0.04300920896436333,1.1475*(m0NESY*kyousuke)
Full_Interactions,0.8823610602836406,0.7647221205672812,See coefficients
Simplified_Interactions,0.8823610602836406,0.7647221205672812,See coefficients
