Model,R²,Adjusted_R²,Formula
Additive,0.5766430089762711,0.43552401196836144,0.9099*m0NESY + 0.1845*NiKo
Multiplicative,0.2610749306657869,0.155514206475185,0.3442*(m0NESY*NiKo)
Full_Interactions,0.5955315427216621,0.3528504683546594,See coefficients
Simplified_Interactions,0.5955315427216621,0.3528504683546594,See coefficients
